"rules" "support" "confidence" "coverage" "lift" "count"
"1" "{} => {soda}" 0.112128146453089 0.112128146453089 1 1 1715
"2" "{} => {rolls/buns}" 0.1182739457339 0.1182739457339 1 1 1809
"3" "{} => {other vegetables}" 0.124419745014711 0.124419745014711 1 1 1903
"4" "{} => {whole milk}" 0.164302059496568 0.164302059496568 1 1 2513
"5" "{} => {}" 0.537234390323635 0.537234390323635 1 1 8217
"6" "{specialty bar} => {}" 0.0115070284406669 0.654275092936803 0.0175874468780647 1.21785780047078 176
"7" "{candy} => {}" 0.0115724092840798 0.602040816326531 0.0192219679633867 1.12062970496705 177
"8" "{specialty chocolate} => {}" 0.0124223602484472 0.635451505016722 0.0195488721804511 1.18281985751865 190
"9" "{hygiene articles} => {}" 0.0134030728996404 0.632716049382716 0.0211833932657731 1.17772812161478 205
"10" "{salty snack} => {}" 0.0123569794050343 0.508064516129032 0.0243216737495914 0.945703635656997 189
"11" "{long life bakery product} => {}" 0.0117031709709055 0.486413043478261 0.0240601503759399 0.905401910672995 179
"12" "{waffles} => {}" 0.0126185027786858 0.510582010582011 0.0247139588100686 0.95038966190238 193
"13" "{chocolate} => {}" 0.0172605426610003 0.540983606557377 0.0319058515854855 1.00697873461057 264
"14" "{napkins} => {}" 0.0211833932657731 0.629126213592233 0.0336711343576332 1.17104605536001 324
"15" "{curd} => {whole milk}" 0.0126185027786858 0.368320610687023 0.0342595619483491 2.24172850794191 193
"16" "{coffee} => {}" 0.0164759725400458 0.441330998248686 0.0373324615887545 0.821486870903451 252
"17" "{butter} => {whole milk}" 0.0143837855508336 0.403669724770642 0.0356325596600196 2.45687562290767 220
"18" "{margarine} => {}" 0.0118339326577313 0.314782608695652 0.037593984962406 0.585931605208714 181
"19" "{canned beer} => {}" 0.0366132723112128 0.732984293193717 0.0499509643674403 1.36436591997054 560
"20" "{brown bread} => {}" 0.0128146453089245 0.307210031347962 0.0417129780974175 0.571836123824642 196
"21" "{newspapers} => {}" 0.0384439359267735 0.749044585987261 0.0513239620791108 1.39426030700683 588
"22" "{fruit/vegetable juice} => {}" 0.0214449166394247 0.461322081575246 0.0464857796665577 0.858697972215333 328
"23" "{bottled beer} => {}" 0.0332134684537431 0.641414141414141 0.051781627983001 1.19391861907379 508
"24" "{whipped/sour cream} => {whole milk}" 0.011441647597254 0.24822695035461 0.0460934946060804 1.51079634129477 175
"25" "{pip fruit} => {tropical fruit}" 0.0126838836220987 0.260752688172043 0.0486433474991827 3.86454686588314 194
"26" "{tropical fruit} => {pip fruit}" 0.0126838836220987 0.187984496124031 0.0674730304020922 3.86454686588314 194
"27" "{pip fruit} => {other vegetables}" 0.010918600849951 0.224462365591398 0.0486433474991827 1.80407350589618 167
"28" "{pip fruit} => {whole milk}" 0.012553121935273 0.258064516129032 0.0486433474991827 1.57067121933687 192
"29" "{shopping bags} => {}" 0.04903563255966 0.773993808049536 0.0633540372670807 1.44070041306044 750
"30" "{citrus fruit} => {tropical fruit}" 0.0124877410918601 0.234932349323493 0.0531546256946715 3.48187042916941 191
"31" "{tropical fruit} => {citrus fruit}" 0.0124877410918601 0.185077519379845 0.0674730304020922 3.48187042916941 191
